chain,block_date,create_trace_count
ethereum,2017-10-10,2166
ethereum,2017-10-11,5216
ethereum,2017-10-12,6182
ethereum,2017-10-13,1764
ethereum,2017-10-14,5253
ethereum,2017-10-15,10930
ethereum,2017-10-16,15038
ethereum,2017-10-17,13584
ethereum,2017-10-18,8852
ethereum,2017-10-19,22758
ethereum,2017-10-20,23425
ethereum,2017-10-21,9282
ethereum,2017-10-22,17680
ethereum,2017-10-23,24206
ethereum,2017-10-24,39905
ethereum,2017-10-25,32823
ethereum,2017-10-26,30000
ethereum,2017-10-27,18067
ethereum,2017-10-28,4079
ethereum,2017-10-29,3179
ethereum,2017-10-30,6360
ethereum,2017-10-31,24234
ethereum,2017-11-01,24465
ethereum,2017-11-02,23858
ethereum,2017-11-03,11363
ethereum,2017-11-04,15315
ethereum,2017-11-05,13395
ethereum,2017-11-06,16175
ethereum,2017-11-07,6551
ethereum,2017-11-08,21107
ethereum,2017-11-09,45610
ethereum,2017-11-10,39939
ethereum,2017-11-11,28642
ethereum,2017-11-12,25082
ethereum,2017-11-13,24834
ethereum,2017-11-14,15049
ethereum,2017-11-15,27532
ethereum,2017-11-16,33862
ethereum,2017-11-17,36631
ethereum,2017-11-18,17960
ethereum,2017-11-19,13085
ethereum,2017-11-20,9370
ethereum,2017-11-21,11256
ethereum,2017-11-22,15283
ethereum,2017-11-23,18123
ethereum,2017-11-24,18582
ethereum,2017-11-25,14319
ethereum,2017-11-26,16265
ethereum,2017-11-27,8340
ethereum,2017-11-28,20985
ethereum,2017-11-29,8856
ethereum,2017-11-30,6126
ethereum,2017-12-01,14955
ethereum,2017-12-02,6947
ethereum,2017-12-03,4861
ethereum,2017-12-04,10333
ethereum,2017-12-05,7994
ethereum,2017-12-06,11769
ethereum,2017-12-07,31753
ethereum,2017-12-08,6576
ethereum,2017-12-09,10246
ethereum,2017-12-10,13838
ethereum,2017-12-11,5613
ethereum,2017-12-12,988
ethereum,2017-12-13,11780
ethereum,2017-12-14,18321
ethereum,2017-12-15,12894
ethereum,2017-12-16,11695
ethereum,2017-12-17,36939
ethereum,2017-12-18,37175
ethereum,2017-12-19,7403
ethereum,2017-12-20,11487
ethereum,2017-12-21,6582
ethereum,2017-12-22,19962
ethereum,2017-12-23,17328
ethereum,2017-12-24,61169
ethereum,2017-12-25,48353
ethereum,2017-12-26,57664
ethereum,2017-12-27,40259
ethereum,2017-12-28,31231
ethereum,2017-12-29,26306
ethereum,2017-12-30,19405
ethereum,2017-12-31,44459
ethereum,2018-01-01,59922
ethereum,2018-01-02,22607
ethereum,2018-01-03,8890
ethereum,2018-01-04,3910
ethereum,2018-01-05,2297
ethereum,2018-01-06,3113
ethereum,2018-01-07,7385
ethereum,2018-01-08,7066
ethereum,2018-01-09,6304
ethereum,2018-01-10,19134
ethereum,2018-01-11,9061
ethereum,2018-01-12,12195
ethereum,2018-01-13,11894
ethereum,2018-01-14,20740
ethereum,2018-01-15,10839
ethereum,2018-01-16,6692
ethereum,2018-01-17,5808
ethereum,2018-01-18,1423
ethereum,2018-01-19,1481
ethereum,2018-01-20,4142
ethereum,2018-01-21,18203
ethereum,2018-01-22,41943
ethereum,2018-01-23,60643
ethereum,2018-01-24,66709
ethereum,2018-01-25,42642
ethereum,2018-01-26,11604
ethereum,2018-01-27,16497
ethereum,2018-01-28,21153
ethereum,2018-01-29,15238
ethereum,2018-01-30,23044
ethereum,2018-01-31,15127
ethereum,2018-02-01,6195
ethereum,2018-02-02,8992
ethereum,2018-02-03,30568
ethereum,2018-02-04,22395
ethereum,2018-02-05,22466
ethereum,2018-02-06,13080
ethereum,2018-02-07,17620
ethereum,2018-02-08,23307
ethereum,2018-02-09,18750
ethereum,2018-02-10,18456
ethereum,2018-02-11,20238
ethereum,2018-02-12,14024
ethereum,2018-02-13,15373
ethereum,2018-02-14,13380
ethereum,2018-02-15,15920
ethereum,2018-02-16,19203
ethereum,2018-02-17,19600
ethereum,2018-02-18,19004
ethereum,2018-02-19,25688
ethereum,2018-02-20,4755
ethereum,2018-02-21,3910
ethereum,2018-02-22,4883
ethereum,2018-02-23,7032
ethereum,2018-02-24,5586
ethereum,2018-02-25,2565
ethereum,2018-02-26,8160
ethereum,2018-02-27,9062
ethereum,2018-02-28,4710
ethereum,2018-03-01,4384
ethereum,2018-03-02,13246
ethereum,2018-03-03,7058
ethereum,2018-03-04,5680
ethereum,2018-03-05,9052
ethereum,2018-03-06,13823
ethereum,2018-03-07,9562
ethereum,2018-03-08,8106
ethereum,2018-03-09,8438
ethereum,2018-03-10,9135
ethereum,2018-03-11,7406
ethereum,2018-03-12,3169
ethereum,2018-03-13,9449
ethereum,2018-03-14,12803
ethereum,2018-03-15,14738
ethereum,2018-03-16,7478
ethereum,2018-03-17,2672
ethereum,2018-03-18,2829
ethereum,2018-03-19,3990
ethereum,2018-03-20,9622
ethereum,2018-03-21,24333
ethereum,2018-03-22,31731
ethereum,2018-03-23,34016
ethereum,2018-03-24,27457
ethereum,2018-03-25,24234
ethereum,2018-03-26,15447
ethereum,2018-03-27,11498
ethereum,2018-03-28,4271
ethereum,2018-03-29,4667
ethereum,2018-03-30,10208
ethereum,2018-03-31,9896
ethereum,2018-04-01,27529
ethereum,2018-04-02,29013
ethereum,2018-04-03,23949
ethereum,2018-04-04,46863
ethereum,2018-04-05,47352
ethereum,2018-04-06,48954
ethereum,2018-04-07,29493
ethereum,2018-04-08,21883
ethereum,2018-04-09,12313
ethereum,2018-04-10,16252
ethereum,2018-04-11,21605
ethereum,2018-04-12,11988
ethereum,2018-04-13,20785
ethereum,2018-04-14,21601
ethereum,2018-04-15,13673
ethereum,2018-04-16,24856
ethereum,2018-04-17,15134
ethereum,2018-04-18,23163
ethereum,2018-04-19,12686
ethereum,2018-04-20,9131
ethereum,2018-04-21,42878
ethereum,2018-04-22,29338
